user,project,event_type,timestamp,date
user_1,projekt_4,start,26-01-2025 20:04:00,26-01-2025
user_1,projekt_4,stop,26-01-2025 22:22:00,26-01-2025
user_1,projekt_8,start,27-01-2025 21:17:00,27-01-2025
user_1,projekt_8,stop,27-01-2025 22:29:00,27-01-2025
user_1,projekt_8,start,28-01-2025 20:43:00,28-01-2025
user_1,projekt_8,stop,28-01-2025 22:09:00,28-01-2025
user_1,projekt_6,start,29-01-2025 20:28:00,29-01-2025
user_1,projekt_6,stop,29-01-2025 22:12:00,29-01-2025
user_1,projekt_5,start,30-01-2025 21:37:00,30-01-2025
user_1,projekt_5,stop,30-01-2025 22:35:00,30-01-2025
user_1,projekt_3,start,31-01-2025 20:25:00,31-01-2025
user_1,projekt_3,stop,31-01-2025 20:48:00,31-01-2025
user_1,projekt_9,start,01-02-2025 19:36:00,01-02-2025
user_1,projekt_9,stop,01-02-2025 21:32:00,01-02-2025
user_1,projekt_7,start,02-02-2025 19:38:00,02-02-2025
user_1,projekt_7,stop,02-02-2025 20:13:00,02-02-2025
user_1,projekt_7,start,03-02-2025 19:10:00,03-02-2025
user_1,projekt_7,stop,03-02-2025 21:42:00,03-02-2025
user_1,projekt_1,start,25-01-2025 19:19:00,25-01-2025
user_1,projekt_1,stop,25-01-2025 20:08:00,25-01-2025
user_1,projekt_8,start,26-01-2025 21:05:00,26-01-2025
user_1,projekt_8,stop,26-01-2025 22:07:00,26-01-2025
user_1,projekt_3,start,27-01-2025 19:08:00,27-01-2025
user_1,projekt_3,stop,27-01-2025 22:48:00,27-01-2025
user_1,projekt_4,start,28-01-2025 21:54:00,28-01-2025
user_1,projekt_4,stop,28-01-2025 22:50:00,28-01-2025
user_1,projekt_7,start,29-01-2025 20:10:00,29-01-2025
user_1,projekt_7,stop,29-01-2025 22:43:00,29-01-2025
user_1,projekt_5,start,30-01-2025 21:17:00,30-01-2025
user_1,projekt_5,stop,30-01-2025 21:57:00,30-01-2025
user_1,projekt_8,start,31-01-2025 21:33:00,31-01-2025
